region,district,value,month,indicator
Bay,Buur Hakaba,1.25,2015-12-01,cdi
Bay,Diinsoor,1.15,2015-12-01,cdi
Bay,Qansax Dheere,1.27,2015-12-01,cdi
Bakool,Xudur,1.44,2015-12-01,cdi
Bakool,Ceel Barde,1.47,2015-12-01,cdi
Bakool,Tayeeglow,1.49,2015-12-01,cdi
Bakool,Waajid,1.23,2015-12-01,cdi
Bakool,Rab Dhuure,1.13,2015-12-01,cdi
Lower Shabelle,Marka,0.79,2016-01-01,cdi
Lower Shabelle,Afgooye,1.11,2016-01-01,cdi
Lower Shabelle,Baraawe,0.83,2016-01-01,cdi
Lower Shabelle,Kurtunwaarey,0.97,2016-01-01,cdi
Lower Shabelle,Qoryooley,1.06,2016-01-01,cdi
Lower Shabelle,Sablaale,0.97,2016-01-01,cdi
Lower Shabelle,Wanla Weyn,1.45,2016-01-01,cdi
Bay,Baydhaba,1.25,2016-01-01,cdi
Bay,Buur Hakaba,1.21,2016-01-01,cdi
Bay,Diinsoor,1.07,2016-01-01,cdi
Bay,Qansax Dheere,1.16,2016-01-01,cdi
Bakool,Xudur,1.41,2016-01-01,cdi
Bakool,Ceel Barde,1.46,2016-01-01,cdi
Bakool,Tayeeglow,1.49,2016-01-01,cdi
Bakool,Waajid,1.22,2016-01-01,cdi
Bakool,Rab Dhuure,1.09,2016-01-01,cdi
Lower Shabelle,Marka,1.09,2016-02-01,cdi
Lower Shabelle,Afgooye,1.27,2016-02-01,cdi
Lower Shabelle,Baraawe,0.9,2016-02-01,cdi
Lower Shabelle,Kurtunwaarey,1.07,2016-02-01,cdi
Lower Shabelle,Qoryooley,1.21,2016-02-01,cdi
Lower Shabelle,Sablaale,1.03,2016-02-01,cdi
Lower Shabelle,Wanla Weyn,1.68,2016-02-01,cdi
Bay,Baydhaba,1.38,2016-02-01,cdi
Bay,Buur Hakaba,1.37,2016-02-01,cdi
Bay,Diinsoor,1.18,2016-02-01,cdi
Bay,Qansax Dheere,1.31,2016-02-01,cdi
Bakool,Xudur,1.21,2016-02-01,cdi
Bakool,Ceel Barde,1.3,2016-02-01,cdi
Bakool,Tayeeglow,1.36,2016-02-01,cdi
Bakool,Waajid,1.06,2016-02-01,cdi
Bakool,Rab Dhuure,0.92,2016-02-01,cdi
Lower Shabelle,Marka,1.24,2016-03-01,cdi
Lower Shabelle,Afgooye,1.47,2016-03-01,cdi
Lower Shabelle,Baraawe,1.08,2016-03-01,cdi
Lower Shabelle,Kurtunwaarey,1.2,2016-03-01,cdi
Lower Shabelle,Qoryooley,1.42,2016-03-01,cdi
Lower Shabelle,Sablaale,1.16,2016-03-01,cdi
Lower Shabelle,Wanla Weyn,1.88,2016-03-01,cdi
Bay,Baydhaba,1.57,2016-03-01,cdi
Bay,Buur Hakaba,1.58,2016-03-01,cdi
Bay,Diinsoor,1.38,2016-03-01,cdi
Bay,Qansax Dheere,1.51,2016-03-01,cdi
Bakool,Xudur,1.13,2016-03-01,cdi
Bakool,Ceel Barde,1.23,2016-03-01,cdi
Bakool,Tayeeglow,1.36,2016-03-01,cdi
Bakool,Waajid,1.01,2016-03-01,cdi
Bakool,Rab Dhuure,0.9,2016-03-01,cdi
Lower Shabelle,Marka,0.86,2016-04-01,cdi
Lower Shabelle,Afgooye,0.89,2016-04-01,cdi
Lower Shabelle,Baraawe,0.88,2016-04-01,cdi
Lower Shabelle,Kurtunwaarey,0.88,2016-04-01,cdi
Lower Shabelle,Qoryooley,0.94,2016-04-01,cdi
Lower Shabelle,Sablaale,0.91,2016-04-01,cdi
Lower Shabelle,Wanla Weyn,1.05,2016-04-01,cdi
Bay,Baydhaba,1.2,2016-04-01,cdi
Bay,Buur Hakaba,1.0,2016-04-01,cdi
Bay,Diinsoor,0.9,2016-04-01,cdi
Bay,Qansax Dheere,1.16,2016-04-01,cdi
Bakool,Xudur,0.75,2016-04-01,cdi
Bakool,Ceel Barde,0.76,2016-04-01,cdi
Bakool,Tayeeglow,0.82,2016-04-01,cdi
Bakool,Waajid,1.02,2016-04-01,cdi
Bakool,Rab Dhuure,0.92,2016-04-01,cdi
Lower Shabelle,Marka,0.85,2016-05-01,cdi
Lower Shabelle,Afgooye,0.56,2016-05-01,cdi
Lower Shabelle,Baraawe,0.55,2016-05-01,cdi
Lower Shabelle,Kurtunwaarey,0.54,2016-05-01,cdi
Lower Shabelle,Qoryooley,0.53,2016-05-01,cdi
Lower Shabelle,Sablaale,0.53,2016-05-01,cdi
Lower Shabelle,Wanla Weyn,0.74,2016-05-01,cdi
Bay,Baydhaba,0.96,2016-05-01,cdi
Bay,Buur Hakaba,0.57,2016-05-01,cdi
Bay,Diinsoor,0.51,2016-05-01,cdi
Bay,Qansax Dheere,0.94,2016-05-01,cdi
Bakool,Xudur,0.51,2016-05-01,cdi
Bakool,Ceel Barde,0.52,2016-05-01,cdi
Bakool,Tayeeglow,0.46,2016-05-01,cdi
Bakool,Waajid,1.0,2016-05-01,cdi
Bakool,Rab Dhuure,0.96,2016-05-01,cdi
Lower Shabelle,Marka,1.05,2016-06-01,cdi
Lower Shabelle,Afgooye,0.75,2016-06-01,cdi
Lower Shabelle,Baraawe,0.53,2016-06-01,cdi
Lower Shabelle,Kurtunwaarey,0.56,2016-06-01,cdi
Lower Shabelle,Qoryooley,0.77,2016-06-01,cdi
Lower Shabelle,Sablaale,0.52,2016-06-01,cdi
Lower Shabelle,Wanla Weyn,0.89,2016-06-01,cdi
Bay,Baydhaba,0.88,2016-06-01,cdi
Bay,Buur Hakaba,0.78,2016-06-01,cdi
Bay,Diinsoor,0.52,2016-06-01,cdi
Bay,Qansax Dheere,0.85,2016-06-01,cdi
Bakool,Xudur,0.55,2016-06-01,cdi
Bakool,Ceel Barde,0.55,2016-06-01,cdi
Bakool,Tayeeglow,0.46,2016-06-01,cdi
Bakool,Waajid,0.91,2016-06-01,cdi
Bakool,Rab Dhuure,0.87,2016-06-01,cdi
Lower Shabelle,Marka,0.95,2016-07-01,cdi
Lower Shabelle,Afgooye,0.92,2016-07-01,cdi
Lower Shabelle,Baraawe,0.51,2016-07-01,cdi
Lower Shabelle,Kurtunwaarey,0.54,2016-07-01,cdi
Lower Shabelle,Qoryooley,0.93,2016-07-01,cdi
Lower Shabelle,Sablaale,0.51,2016-07-01,cdi
Lower Shabelle,Wanla Weyn,0.8,2016-07-01,cdi
Bay,Baydhaba,0.72,2016-07-01,cdi
Bay,Buur Hakaba,0.89,2016-07-01,cdi
Bay,Diinsoor,0.51,2016-07-01,cdi
Bay,Qansax Dheere,0.68,2016-07-01,cdi
Bakool,Xudur,0.53,2016-07-01,cdi
Bakool,Ceel Barde,0.55,2016-07-01,cdi
Bakool,Tayeeglow,0.5,2016-07-01,cdi
Bakool,Waajid,0.77,2016-07-01,cdi
Bakool,Rab Dhuure,0.73,2016-07-01,cdi
Lower Shabelle,Marka,0.7,2016-08-01,cdi
Lower Shabelle,Afgooye,0.78,2016-08-01,cdi
Lower Shabelle,Baraawe,0.46,2016-08-01,cdi
Lower Shabelle,Kurtunwaarey,0.5,2016-08-01,cdi
Lower Shabelle,Qoryooley,0.77,2016-08-01,cdi
