,date,forecast_latitude,forecast_longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours,precipitation_probability_max,wind_speed_10m_max,region,district,district_latitude,district_longitude
101,2024-11-15 21:00:00+00:00,1.25,43.5,32.5825,23.932499,0.0,0.0,0.0,3.0,12.181624,Lower Shabelle,Sablaale,1.2423281,43.4794898
102,2024-11-16 21:00:00+00:00,1.25,43.5,32.5325,23.6325,0.0,0.0,0.0,15.0,11.4862,Lower Shabelle,Sablaale,1.2423281,43.4794898
103,2024-11-17 21:00:00+00:00,1.25,43.5,31.2325,24.082499,6.6000004,0.0,12.0,28.0,11.090103,Lower Shabelle,Sablaale,1.2423281,43.4794898
104,2024-11-18 21:00:00+00:00,1.25,43.5,31.832499,24.5325,4.2,0.0,12.0,33.0,13.849477,Lower Shabelle,Sablaale,1.2423281,43.4794898
105,2024-11-12 21:00:00+00:00,2.625,44.875,30.45,24.45,6.8,0.0,9.0,80.0,13.684735,Lower Shabelle,Wanla Weyn,2.6192699,44.8936393
106,2024-11-13 21:00:00+00:00,2.625,44.875,30.9,24.35,3.9,0.0,10.0,63.0,17.10284,Lower Shabelle,Wanla Weyn,2.6192699,44.8936393
107,2024-11-14 21:00:00+00:00,2.625,44.875,32.5,24.35,0.0,0.0,0.0,3.0,20.898613,Lower Shabelle,Wanla Weyn,2.6192699,44.8936393
108,2024-11-15 21:00:00+00:00,2.625,44.875,33.1,22.8,0.0,0.0,0.0,0.0,18.089775,Lower Shabelle,Wanla Weyn,2.6192699,44.8936393
109,2024-11-16 21:00:00+00:00,2.625,44.875,33.3,23.15,0.9,0.0,6.0,6.0,15.277749,Lower Shabelle,Wanla Weyn,2.6192699,44.8936393
110,2024-11-17 21:00:00+00:00,2.625,44.875,31.95,24.85,6.6000004,0.0,14.0,15.0,16.039202,Lower Shabelle,Wanla Weyn,2.6192699,44.8936393
111,2024-11-18 21:00:00+00:00,2.625,44.875,32.75,24.55,0.9,0.0,1.0,18.0,18.723461,Lower Shabelle,Wanla Weyn,2.6192699,44.8936393
