,date,forecast_latitude,forecast_longitude,temperature_2m,precipitation_probability,precipitation,region,district,district_latitude,district_longitude
91,2024-11-16 16:00:00+00:00,4.75,43.25,29.338999,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
92,2024-11-16 17:00:00+00:00,4.75,43.25,27.639,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
93,2024-11-16 18:00:00+00:00,4.75,43.25,26.139,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
94,2024-11-16 19:00:00+00:00,4.75,43.25,24.989,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
95,2024-11-16 20:00:00+00:00,4.75,43.25,24.039,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
96,2024-11-16 21:00:00+00:00,4.75,43.25,23.139,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
97,2024-11-16 22:00:00+00:00,4.75,43.25,22.139,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
98,2024-11-16 23:00:00+00:00,4.75,43.25,21.189,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
99,2024-11-17 00:00:00+00:00,4.75,43.25,20.689,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
100,2024-11-17 01:00:00+00:00,4.75,43.25,20.739,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
101,2024-11-17 02:00:00+00:00,4.75,43.25,21.189,1.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
102,2024-11-17 03:00:00+00:00,4.75,43.25,22.189,2.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
103,2024-11-17 04:00:00+00:00,4.75,43.25,23.939,2.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
104,2024-11-17 05:00:00+00:00,4.75,43.25,26.189,3.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
105,2024-11-17 06:00:00+00:00,4.75,43.25,28.338999,3.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
106,2024-11-17 07:00:00+00:00,4.75,43.25,30.289,3.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
107,2024-11-17 08:00:00+00:00,4.75,43.25,32.089,2.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
108,2024-11-17 09:00:00+00:00,4.75,43.25,33.489002,2.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
109,2024-11-17 10:00:00+00:00,4.75,43.25,34.389,1.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
110,2024-11-17 11:00:00+00:00,4.75,43.25,34.839,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
111,2024-11-17 12:00:00+00:00,4.75,43.25,34.889,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
112,2024-11-17 13:00:00+00:00,4.75,43.25,34.439003,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
113,2024-11-17 14:00:00+00:00,4.75,43.25,33.589,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
114,2024-11-17 15:00:00+00:00,4.75,43.25,32.489002,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
115,2024-11-17 16:00:00+00:00,4.75,43.25,31.139,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
116,2024-11-17 17:00:00+00:00,4.75,43.25,29.588999,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
117,2024-11-17 18:00:00+00:00,4.75,43.25,28.239,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
118,2024-11-17 19:00:00+00:00,4.75,43.25,27.289,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
119,2024-11-17 20:00:00+00:00,4.75,43.25,26.588999,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
120,2024-11-17 21:00:00+00:00,4.75,43.25,25.939,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
121,2024-11-17 22:00:00+00:00,4.75,43.25,25.338999,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
