district,long_term_monthly_mean,month,region,threshold,value,year
Diinsoor,1.1370833333333332,01,Bay,Normal,3.255,2023
Diinsoor,1.7899583333333333,02,Bay,Alert,1.426,2023
Diinsoor,24.754541666666668,03,Bay,Normal,32.621,2023
Diinsoor,126.25741666666667,04,Bay,Normal,175.825,2023
Diinsoor,85.290375,05,Bay,Alert,41.266,2023
Diinsoor,20.421166666666668,06,Bay,Normal,18.823,2023
Diinsoor,23.336333333333332,07,Bay,Alert,13.241,2023
Diinsoor,11.990958333333333,08,Bay,Alert,9.289,2023
Diinsoor,10.502083333333333,09,Bay,Normal,10.815,2023
Diinsoor,95.63869565217391,10,Bay,Normal,165.653,2023
Diinsoor,100.89658333333334,11,Bay,Normal,268.485,2023
Diinsoor,17.273208333333333,12,Bay,Alarm,0.685,2023
Qansax Dheere,1.2495833333333333,01,Bay,Normal,2.923,2023
Qansax Dheere,1.7055416666666667,02,Bay,Normal,1.412,2023
Qansax Dheere,31.015125,03,Bay,Normal,43.196,2023
Qansax Dheere,135.441375,04,Bay,Normal,179.331,2023
Qansax Dheere,47.42066666666667,05,Bay,Alert,24.408,2023
Qansax Dheere,7.480708333333333,06,Bay,Normal,6.144,2023
Qansax Dheere,15.000583333333333,07,Bay,Alert,9.397,2023
Qansax Dheere,9.505666666666666,08,Bay,Normal,8.084,2023
Qansax Dheere,4.742916666666667,09,Bay,Normal,4.767,2023
Qansax Dheere,126.77695652173914,10,Bay,Normal,209.945,2023
Qansax Dheere,71.35604166666667,11,Bay,Normal,220.507,2023
Qansax Dheere,18.488958333333333,12,Bay,Alarm,1.502,2023
Afgooye,1.3696666666666668,01,Lower Shabelle,Normal,2.764,2023
Afgooye,6.557166666666666,03,Lower Shabelle,Normal,5.707,2023
Afgooye,72.53758333333333,04,Lower Shabelle,Normal,152.936,2023
Afgooye,64.68733333333333,05,Lower Shabelle,Alert,26.388,2023
Afgooye,30.081583333333334,06,Lower Shabelle,Alert,20.404,2023
Afgooye,28.966291666666667,07,Lower Shabelle,Alert,11.631,2023
Afgooye,12.918375,08,Lower Shabelle,Alert,6.955,2023
Afgooye,6.272708333333333,09,Lower Shabelle,Normal,5.498,2023
Afgooye,68.10739130434783,10,Lower Shabelle,Normal,129.904,2023
Afgooye,72.09154166666667,11,Lower Shabelle,Normal,213.16,2023
Afgooye,13.540791666666667,12,Lower Shabelle,Alarm,4.1,2023
Baraawe,0.425625,01,Lower Shabelle,Normal,0.602,2023
Baraawe,0.4036666666666667,02,Lower Shabelle,Normal,0.413,2023
Baraawe,4.326375,03,Lower Shabelle,Alert,3.1,2023
Baraawe,77.72691666666667,04,Lower Shabelle,Normal,174.86,2023
Baraawe,82.99758333333334,05,Lower Shabelle,Alert,34.73,2023
Baraawe,56.80316666666667,06,Lower Shabelle,Alert,37.289,2023
Baraawe,41.404,07,Lower Shabelle,Alert,21.052,2023
Baraawe,29.813958333333332,08,Lower Shabelle,Alert,23.345,2023
Baraawe,12.575416666666667,09,Lower Shabelle,Normal,13.616,2023
Baraawe,30.089260869565216,10,Lower Shabelle,Normal,39.419,2023
Baraawe,40.414875,11,Lower Shabelle,Normal,135.959,2023
Baraawe,5.963916666666667,12,Lower Shabelle,Alert,4.39,2023
Kurtunwaarey,0.8582083333333334,01,Lower Shabelle,Normal,2.422,2023
Kurtunwaarey,0.7255,02,Lower Shabelle,Normal,0.741,2023
Kurtunwaarey,10.082125,03,Lower Shabelle,Normal,11.347,2023
Kurtunwaarey,96.46595833333333,04,Lower Shabelle,Normal,168.804,2023
Kurtunwaarey,84.62145833333334,05,Lower Shabelle,Alert,38.788,2023
Kurtunwaarey,39.357875,06,Lower Shabelle,Normal,32.202,2023
Kurtunwaarey,38.178333333333335,07,Lower Shabelle,Alert,16.265,2023
Kurtunwaarey,24.048166666666667,08,Lower Shabelle,Alert,15.977,2023
Kurtunwaarey,12.040208333333334,09,Lower Shabelle,Normal,13.754,2023
Kurtunwaarey,81.57091304347826,10,Lower Shabelle,Normal,154.283,2023
Kurtunwaarey,60.377833333333335,11,Lower Shabelle,Normal,169.504,2023
Kurtunwaarey,10.792541666666667,12,Lower Shabelle,Alarm,3.293,2023
Marka,0.9458333333333333,01,Lower Shabelle,Normal,2.356,2023
Marka,0.27758333333333335,02,Lower Shabelle,Normal,0.26,2023
Marka,4.081916666666666,03,Lower Shabelle,Normal,3.515,2023
Marka,51.84866666666667,04,Lower Shabelle,Normal,106.523,2023
Marka,46.40525,05,Lower Shabelle,Alarm,15.75,2023
Marka,37.725791666666666,06,Lower Shabelle,Alert,29.817,2023
Marka,36.13225,07,Lower Shabelle,Alert,15.209,2023
Marka,28.778375,08,Lower Shabelle,Alert,16.621,2023
Marka,8.339791666666667,09,Lower Shabelle,Normal,8.005,2023
Marka,21.445652173913043,10,Lower Shabelle,Normal,33.655,2023
Marka,38.332375,11,Lower Shabelle,Normal,138.256,2023
Marka,6.7712916666666665,12,Lower Shabelle,Alert,4.072,2023
Qoryooley,0.9635,01,Lower Shabelle,Normal,3.132,2023
Qoryooley,0.5652916666666666,02,Lower Shabelle,Normal,0.593,2023
Qoryooley,7.502791666666667,03,Lower Shabelle,Normal,6.642,2023
Qoryooley,85.052375,04,Lower Shabelle,Normal,147.82,2023
Qoryooley,72.8545,05,Lower Shabelle,Alert,33.398,2023
Qoryooley,34.56041666666667,06,Lower Shabelle,Alert,22.53,2023
Qoryooley,33.16175,07,Lower Shabelle,Alert,13.709,2023
Qoryooley,24.622,08,Lower Shabelle,Alert,13.834,2023
Qoryooley,8.802541666666666,09,Lower Shabelle,Normal,7.244,2023
Qoryooley,73.18034782608696,10,Lower Shabelle,Normal,140.142,2023
