region,district,value,month,indicator
Lower Shabelle,Baraawe,15.582,2002-12-01,rainfall
Lower Shabelle,Kurtunwaarey,26.579,2002-12-01,rainfall
Lower Shabelle,Qoryooley,30.092,2002-12-01,rainfall
Lower Shabelle,Sablaale,36.231,2002-12-01,rainfall
Lower Shabelle,Wanla Weyn,23.589,2002-12-01,rainfall
Bay,Baydhaba,20.923,2002-12-01,rainfall
Bay,Buur Hakaba,30.449,2002-12-01,rainfall
Bay,Diinsoor,37.008,2002-12-01,rainfall
Bay,Qansax Dheere,53.414,2002-12-01,rainfall
Bakool,Xudur,1.101,2002-12-01,rainfall
Bakool,Ceel Barde,0.799,2002-12-01,rainfall
Bakool,Tayeeglow,5.765,2002-12-01,rainfall
Bakool,Waajid,10.059,2002-12-01,rainfall
Bakool,Rab Dhuure,3.95,2002-12-01,rainfall
Lower Shabelle,Marka,0.684,2003-01-01,rainfall
Lower Shabelle,Afgooye,1.204,2003-01-01,rainfall
Lower Shabelle,Baraawe,0.355,2003-01-01,rainfall
Lower Shabelle,Kurtunwaarey,0.587,2003-01-01,rainfall
Lower Shabelle,Qoryooley,0.622,2003-01-01,rainfall
Lower Shabelle,Sablaale,0.593,2003-01-01,rainfall
Lower Shabelle,Wanla Weyn,1.55,2003-01-01,rainfall
Bay,Baydhaba,0.901,2003-01-01,rainfall
Bay,Buur Hakaba,0.754,2003-01-01,rainfall
Bay,Diinsoor,0.703,2003-01-01,rainfall
Bay,Qansax Dheere,0.799,2003-01-01,rainfall
Bakool,Xudur,0.413,2003-01-01,rainfall
Bakool,Ceel Barde,0.692,2003-01-01,rainfall
Bakool,Tayeeglow,0.589,2003-01-01,rainfall
Bakool,Waajid,0.485,2003-01-01,rainfall
Bakool,Rab Dhuure,0.329,2003-01-01,rainfall
Lower Shabelle,Marka,0.253,2003-02-01,rainfall
Lower Shabelle,Afgooye,0.781,2003-02-01,rainfall
Lower Shabelle,Baraawe,0.405,2003-02-01,rainfall
Lower Shabelle,Kurtunwaarey,0.694,2003-02-01,rainfall
Lower Shabelle,Qoryooley,0.554,2003-02-01,rainfall
Lower Shabelle,Sablaale,0.926,2003-02-01,rainfall
Lower Shabelle,Wanla Weyn,1.311,2003-02-01,rainfall
Bay,Baydhaba,1.15,2003-02-01,rainfall
Bay,Buur Hakaba,1.398,2003-02-01,rainfall
Bay,Diinsoor,1.692,2003-02-01,rainfall
Bay,Qansax Dheere,1.289,2003-02-01,rainfall
Bakool,Xudur,0.591,2003-02-01,rainfall
Bakool,Ceel Barde,1.167,2003-02-01,rainfall
Bakool,Tayeeglow,0.655,2003-02-01,rainfall
Bakool,Waajid,0.877,2003-02-01,rainfall
Bakool,Rab Dhuure,0.883,2003-02-01,rainfall
Lower Shabelle,Marka,2.802,2003-03-01,rainfall
Lower Shabelle,Afgooye,3.703,2003-03-01,rainfall
Lower Shabelle,Baraawe,2.324,2003-03-01,rainfall
Lower Shabelle,Kurtunwaarey,4.487,2003-03-01,rainfall
Lower Shabelle,Qoryooley,4.562,2003-03-01,rainfall
Lower Shabelle,Sablaale,4.461,2003-03-01,rainfall
Lower Shabelle,Wanla Weyn,14.511,2003-03-01,rainfall
Bay,Baydhaba,9.219,2003-03-01,rainfall
Bay,Buur Hakaba,9.959,2003-03-01,rainfall
Bay,Diinsoor,11.781,2003-03-01,rainfall
Bay,Qansax Dheere,15.704,2003-03-01,rainfall
Bakool,Xudur,3.382,2003-03-01,rainfall
Bakool,Ceel Barde,4.306,2003-03-01,rainfall
Bakool,Tayeeglow,7.717,2003-03-01,rainfall
Bakool,Waajid,8.384,2003-03-01,rainfall
Bakool,Rab Dhuure,6.104,2003-03-01,rainfall
Lower Shabelle,Marka,104.746,2003-04-01,rainfall
Lower Shabelle,Afgooye,120.286,2003-04-01,rainfall
Lower Shabelle,Baraawe,134.087,2003-04-01,rainfall
Lower Shabelle,Kurtunwaarey,162.735,2003-04-01,rainfall
Lower Shabelle,Qoryooley,143.356,2003-04-01,rainfall
Lower Shabelle,Sablaale,188.868,2003-04-01,rainfall
Lower Shabelle,Wanla Weyn,149.085,2003-04-01,rainfall
Bay,Baydhaba,186.18,2003-04-01,rainfall
Bay,Buur Hakaba,191.348,2003-04-01,rainfall
Bay,Diinsoor,185.32,2003-04-01,rainfall
Bay,Qansax Dheere,182.056,2003-04-01,rainfall
